ChronicIllness	MasterProductID	MasterProductFullName
Diabetes	141	ACTOS TAB 30MG (AS HCL) 28 
Diabetes	142	ACTOS TAB 45MG (AS HCL) 28 
Osteoporosis	146	ACTONEL ONCE-A-MONTH TAB 150MG 1 
Osteoporosis	267	ALENDROBELL TAB 70MG 4 
Osteoporosis	269	ALENDRONATE (GA) TAB 70MG 4 
Osteoporosis	271	ALENDRONATE (CHEM-MART) TAB 70MG 4 
Osteoporosis	272	ALENDRONATE (TW) TAB 70MG 4 
Osteoporosis	273	ALENDRONATE GENRX TAB 70MG 4 
Depression	296	ALLEGRON TAB 25MG 50 
Diabetes	387	AMARYL TAB 1MG 30 
Diabetes	389	AMARYL TAB 4MG 30 
Depression	421	AMIRA TAB 300MG 60 BLISTER
Diabetes	579	APIDRA INJ 3ML 5 1 
Depression	590	CITALOPRAM (APO) TAB 20MG 28 BLISTER
Depression	595	ESCITALOPRAM (APO) TAB 10MG 28 
Epilepsy	603	GABAPENTIN (APO) CAP 100MG 100 
Lipids	624	SIMVASTATIN (APO) TAB 10MG 30 
Depression	710	AROPAX TAB 20MG 30 
Hypertension	763	ATACAND TAB 4MG 30 
Hypertension	764	ATACAND TAB 8MG 30 
Heart Failure	770	ATENOLOL (SANDOZ) TAB 50MG 30 
Heart Failure	773	ATENOLOL (HEALTHSENSE) TAB 50MG 30 
Heart Failure	774	ATENOLOL (TW) TAB 50MG 30 
Heart Failure	775	ATENOLOL-BC TAB 50MG 30 BLISTER
Heart Failure	777	ATENOLOL (GA) TAB 50MG 30 BLISTER
Heart Failure	778	ATENOLOL (APO) TAB 50MG 30 BOTTLE
Depression	827	AURORIX TAB 300MG 60 
Depression	854	AVANZA TAB 30MG 30 
Depression	858	AVANZA TAB 45MG 30 
Diabetes	860	AVANDAMET TAB 2MG/500MG 56 
Hypertension	863	AVAPRO TAB 75MG 30 
Hypertension	869	AVAPRO TAB 300MG 28 28
Diabetes	887	AYLIDE TAB 1MG 30 
Diabetes	888	AYLIDE TAB 2MG 30 
Heart Failure	927	BARBLOC TAB 5MG 100 
Heart Failure	1037	BICOR TAB 10MG 28 
Heart Failure	1060	BISOPROLOL (SANDOZ) TAB 5MG 28 
Lipids	1259	CADUET TAB 5MG/80MG 30 
Lipids	1262	CADUET TAB 10MG/40MG 30 
Lipids	1263	CADUET TAB 10MG/80MG 30 
Heart Failure	1401	CARVEDILOL (GN) TAB 3.125MG 30 
Heart Failure	1403	CARVEDILOL (GN) TAB 12.5MG 60 
Heart Failure	1405	CARVEDILOL (SANDOZ) TAB 6.25MG 60 
Heart Failure	1406	CARVEDILOL (SANDOZ) TAB 12.5MG 60 
Heart Failure	1408	CARVEDILOL (GEN HLTH) TAB 6.25MG 60 
Heart Failure	1411	CARVEDILOL (GENRX) TAB 3.125MG 30 
Depression	1537	CELAPRAM TAB 20MG 28 BLISTER
Depression	1539	CELAPRAM TAB 10MG 28 
Depression	1540	CELAPRAM TAB 40MG 28 
Lipids	1643	CHOLSTAT TAB 20MG 30 
