EI_NAME,ENV_NAME,BOOTLOAD,PL_NAME,SRV_NAME,UNT,UNT_IMAGE,COMPUTE_UNIT,Cores,Memory (Gigs),Prod/Dev,EM  Y / N / Retire,Comments
BGDLTE410D01,bgd0002,apol6u4,TECHPROD-NADC-01,srv11713,unit18577,BGDLTE410D01_BDA,64,4,32,Prod,Y,
BGDLTE410D01,bgd0006,apol6u4,ADE-NADC-11,srv14412,unit3702,BGDLTE410D01_BDA,64,4,32,Prod,Y,
BGDLTE410D01,bgd0008,apol6u4,ADE-NADC-11,srv14113,unit3780,BGDLTE410D01_BDA,64,4,32,Prod,Y,
BGDLTE410D01,bgd0009,apol6u4,TECHPROD-NADC-01,srv11313,unit3781,BGDLTE410D01_BDA,64,4,32,Prod,Y,
BGDLTE410D01,bgd0010,apol6u4,ADE-NADC-11,srv11905,unit3782,BGDLTE410D01_BDA,64,4,32,Prod,Y,
BGDLTE410D01,bgd0011,apol6u4,ADE-NADC-11,srv10721,unit3783,BGDLTE410D01_BDA,64,4,32,Prod,Y,
BGDPCS111C01,bgd0003,apol6u4,TECHPROD-NADC-01,srv11515,unit24686,BGDPCS111C01_WLS,64,4,32,Prod,Y,
BGDPCS111C01,bgd0003,apol6u4,TECHPROD-NADC-01,srv13410,unit24685,BGDPCS111C01_CDH,64,4,32,Prod,Y,
BGDPCS111C01,bgd0004,apol6u4,TECHPROD-NADC-01,srv13201,unit2371,BGDPCS111C01_CDH,64,4,32,Prod,Y,
BGDPCS111C01,bgd0004,apol6u4,TECHPROD-NADC-01,srv13201,unit2374,BGDPCS111C01_WLS,64,4,32,Prod,Y,
BGDPCSSTDC01,bgd0005,apol6u4,TECHPROD-NADC-01,srv11713,unit1754,BGDPCSSTDC01_CD1,64,8,32,Dev,N,No space so put in TechProd to be released
BGDPCSSTDC01,bgd0005,apol6u4,TECHPROD-NADC-01,srv11713,unit18459,BGDPCSSTDC01_WLS,64,8,32,Dev,N,
BGDPCSSTDC01,bgd0005,apol6u4,TECHPROD-NADC-01,srv17825,unit17547,BGDPCSSTDC01_CD2,64,8,32,Dev,N,
BGDPCSSTDC01,bgd0005,apol6u4,TECHPROD-NADC-01,srv17825,unit17548,BGDPCSSTDC01_CD3,64,8,32,Dev,N,
ENDBDDPOCD01,end0009,apol6u4,TECHPROD-NADC-01,srv17831,unit4825,ENDBDDPOCD01_BDD,128,12,64,Prod,Retire 11/30/15,
ENDBDDPOCD01,end0009,apol6u4,TECHPROD-NADC-01,srv17831,unit4826,ENDBDDPOCD01_HDP,128,8,64,Prod,Retire 11/30/15,
ENDBDDPOCD01,end0012,apol6u4,TECHPROD-NADC-01,srv11710,unit4855,ENDBDDPOCD01_BDD,128,12,64,Prod,Retire 10/09/15,
ENDBDDPOCD01,end0012,apol6u4,TECHPROD-NADC-01,srv11710,unit4856,ENDBDDPOCD01_HDP,128,8,64,Prod,Retire 10/09/15,
ENDBDDSTDD01,end0017,apol6u4,TECHBUILD-NADC-01,srv17828,unit5963,ENDBDDSTDD01_BDD,512,40,256,Dev,N,
ENDBDDSTDD01,end0083,apol6u4,ENDBDD-NADC-01,srv17928,unit15732,ENDBDDSTDD01_BDD,512,40,256,Dev,N,
ENDEID311D01,end0040,apol5u10,ADE-NADC-11,srv10813,unit17483,ENDEID311D01_ES1,36,6,18,Prod,Retire 12/30/15,
ENDEID311D01,end0040,apol5u10,ADE-NADC-11,srv10813,unit17484,ENDEID311D01_ES2,36,6,18,Prod,Retire 12/30/15,
ENDEID311D01,end0040,apol5u10,ADE-NADC-11,srv10813,unit17485,ENDEID311D01_ES3,36,6,18,Prod,Retire 12/30/15,
